,mrp,ram_space,storage_space,os,storage_type,ram_type,cpu,display_size,touch_screen,warranty
57,38705.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 QUAD CORE,15.6,NO,2 Y
58,94990.0,8 GB,1 TB,WIN,SSD,DDR4,RYZEN 9 OCTA CORE,14.0,NO,1 Y
59,32990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
60,85990.0,16 GB,1 TB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
61,35590.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 3 DUAL CORE,15.6,NO,2 Y
62,23990.0,4 GB,256 GB,WIN,SSD,DDR4,INTEL CELERON DUAL CORE,14.0,NO,1 Y
63,48990.0,16 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 HEXA CORE,14.0,NO,1 Y
64,139990.0,8 GB,512 GB,MAC OS,SSD,UNIFIED,APPLE M2,13.3,NO,1 Y
65,89990.0,16 GB,512 GB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
66,150990.0,16 GB,1 TB,WIN,SSD,DDR4,RYZEN 9 OCTA CORE,15.6,NO,1 Y
67,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,2 Y
68,59990.0,8 GB,1 TB,WIN,SSD,DDR4,RYZEN 5 HEXA CORE,15.6,NO,1 Y
69,70990.0,16 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 HEXA CORE,15.6,NO,1 Y
70,194990.0,16 GB,1 TB,WIN,SSD,DDR5,RYZEN 9 OCTA CORE,15.6,NO,1 Y
71,44990.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 HEXA CORE,15.6,NO,2 Y
72,22990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CELERON QUAD CORE,14.0,NO,1 Y
73,46990.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 HEXA CORE,15.6,NO,1 Y
74,50990.0,8 GB,1 TB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
75,28990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,NO,1 Y
76,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
77,38705.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 QUAD CORE,15.6,NO,2 Y
78,84990.0,16 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I7,15.6,NO,2 Y
79,181990.0,16 GB,512 GB,MAC OS,SSD,UNIFIED,APPLE M1 PRO,14.2,NO,1 Y
80,196990.0,16 GB,1 TB,WIN,SSD,DDR5,RYZEN 9 OCTA CORE,15.6,NO,1 Y
81,85990.0,16 GB,1 TB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
82,109990.0,16 GB,1 TB,WIN,SSD,DDR4,RYZEN 9 OCTA CORE,15.6,NO,1 Y
83,32990.0,4 GB,128 GB,WIN,EMMC,DDR4,QUALCOMM SNAPDRAGON 7C GEN 2,14.0,NO,1 Y
84,37990.0,16 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,14.0,NO,1 Y
85,139990.0,8 GB,512 GB,MAC OS,SSD,UNIFIED,APPLE M2,13.6,NO,1 Y
86,35590.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 3 DUAL CORE,15.6,NO,2 Y
87,150990.0,16 GB,1 TB,WIN,SSD,DDR4,RYZEN 9 OCTA CORE,15.6,NO,1 Y
88,29990.0,4 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
89,19490.0,4 GB,64 GB,CHROME OS,EMMC,DDR4,INTEL CELERON DUAL CORE,14.0,NO,1 Y
90,36990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,NO,2 Y
91,73490.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
92,52990.0,8 GB,1 TB,WIN,SSD,DDR4,RYZEN 5 HEXA CORE,15.6,NO,1 Y
93,41890.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
94,30428.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL PENTIUM SILVER,15.6,NO,1 Y
95,34990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
96,19490.0,4 GB,64 GB,CHROME OS,EMMC,DDR4,INTEL CELERON DUAL CORE,14.0,NO,1 Y
97,29990.0,4 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
98,88990.0,8 GB,256 GB,MAC OS,SSD,DDR4,APPLE M1,13.3,NO,1 Y
99,36990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,NO,2 Y
100,65990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I7,15.6,NO,2 Y
101,33490.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
102,60990.0,16 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,14.0,NO,1 Y
103,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,2 Y
104,46990.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 HEXA CORE,15.6,NO,1 Y
105,59990.0,16 GB,512 GB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
106,114990.0,16 GB,1 TB,WIN,SSD,DDR4,INTEL CORE I7,15.6,NO,2 Y
107,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
108,119990.0,16 GB,1 TB,WIN,SSD,DDR4,INTEL CORE I7,16.0,NO,1 Y
109,42990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
110,89990.0,16 GB,512 GB,WIN,SSD,DDR5,INTEL CORE I5,15.6,NO,1 Y
111,38705.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 QUAD CORE,15.6,NO,2 Y
112,79990.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
113,70990.0,8 GB,1 TB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
114,33900.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
115,196990.0,16 GB,1 TB,WIN,SSD,DDR5,RYZEN 9 OCTA CORE,15.6,NO,1 Y
116,59990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,14.0,NO,1 Y
117,52990.0,16 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I7,15.6,NO,1 Y
118,124990.0,16 GB,512 GB,MAC OS,SSD,DDR4,APPLE M1,13.3,NO,1 Y
119,85990.0,16 GB,1 TB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
120,31990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
121,66990.0,16 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 HEXA CORE,15.6,NO,1 Y
122,89081.0,16 GB,512 GB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
123,36990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,NO,2 Y
124,104990.0,8 GB,512 GB,MAC OS,SSD,DDR4,APPLE M1,13.3,NO,1 Y
125,53490.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,2 Y
126,45990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,YES,1 Y
127,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,2 Y
128,45990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
129,51990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,2 Y
130,75990.0,16 GB,512 GB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
131,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
132,36990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,2 Y
133,78800.0,16 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,14.0,YES,1 Y
134,29390.0,8 GB,512 GB,WIN,SSD,DDR4,AMD ATHLON DUAL CORE,15.6,NO,1 Y
135,38705.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 QUAD CORE,15.6,NO,2 Y
136,30990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,NO,1 Y
137,62490.0,16 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,2 Y
138,89990.0,16 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I7,14.0,NO,1 Y
139,196990.0,16 GB,1 TB,WIN,SSD,DDR5,RYZEN 9 OCTA CORE,15.6,NO,1 Y
140,58899.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
141,85990.0,16 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,2 Y
142,33099.0,8 GB,1 TB,WIN,HDD,DDR4,RYZEN 3 DUAL CORE,14.0,NO,1 Y
143,85990.0,16 GB,1 TB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
144,73490.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
145,63490.0,8 GB,1 TB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
146,36990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,NO,2 Y
147,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,2 Y
148,38990.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 QUAD CORE,14.0,NO,1 Y
149,67990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,16.1,NO,1 Y
150,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
151,196990.0,16 GB,1 TB,WIN,SSD,DDR5,RYZEN 9 OCTA CORE,15.6,NO,1 Y
152,39790.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
153,241990.0,16 GB,1 TB,MAC OS,SSD,UNIFIED,APPLE M1 PRO,16.2,NO,1 Y
154,104990.0,8 GB,512 GB,MAC OS,SSD,DDR4,APPLE M1,13.3,NO,1 Y
155,42190.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 3 DUAL CORE,14.0,NO,1 Y
156,38705.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 QUAD CORE,15.6,NO,2 Y
157,85990.0,16 GB,1 TB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
158,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,NO,1 Y
159,99990.0,16 GB,1 TB,WIN,SSD,DDR5,INTEL CORE I7,15.6,NO,1 Y
160,35590.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 3 DUAL CORE,15.6,NO,2 Y
161,150990.0,16 GB,1 TB,WIN,SSD,DDR4,RYZEN 9 OCTA CORE,15.6,NO,1 Y
163,64990.0,16 GB,1 TB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
